x_i	f(x_i)	derivative(x_i)
x=-3.000000	f(x)=0.980085	f'(x)=0.279394
x=-2.990000	f(x)=0.977195	f'(x)=0.298545
x=-2.980000	f(x)=0.974114	f'(x)=0.317571
x=-2.970000	f(x)=0.970844	f'(x)=0.336459
x=-2.960000	f(x)=0.967385	f'(x)=0.355229
x=-2.950000	f(x)=0.963739	f'(x)=0.373852
x=-2.940000	f(x)=0.959908	f'(x)=0.392324
x=-2.930000	f(x)=0.955893	f'(x)=0.410637
x=-2.920000	f(x)=0.951695	f'(x)=0.428790
x=-2.910000	f(x)=0.947317	f'(x)=0.446776
x=-2.900000	f(x)=0.942760	f'(x)=0.464571
x=-2.890000	f(x)=0.938025	f'(x)=0.482184
x=-2.880000	f(x)=0.933116	f'(x)=0.499609
x=-2.870000	f(x)=0.928033	f'(x)=0.516832
x=-2.860000	f(x)=0.922779	f'(x)=0.533843
x=-2.850000	f(x)=0.917356	f'(x)=0.550649
x=-2.840000	f(x)=0.911766	f'(x)=0.567234
x=-2.830000	f(x)=0.906012	f'(x)=0.583583
x=-2.820000	f(x)=0.900095	f'(x)=0.599703
x=-2.810000	f(x)=0.894018	f'(x)=0.615591
x=-2.800000	f(x)=0.887783	f'(x)=0.631228
x=-2.790000	f(x)=0.881393	f'(x)=0.646606
x=-2.780000	f(x)=0.874851	f'(x)=0.661728
x=-2.770000	f(x)=0.868159	f'(x)=0.676590
x=-2.760000	f(x)=0.861319	f'(x)=0.691178
x=-2.750000	f(x)=0.854335	f'(x)=0.705495
x=-2.740000	f(x)=0.847209	f'(x)=0.719526
x=-2.730000	f(x)=0.839944	f'(x)=0.733259
x=-2.720000	f(x)=0.832544	f'(x)=0.746712
x=-2.710000	f(x)=0.825010	f'(x)=0.759870
x=-2.700000	f(x)=0.817346	f'(x)=0.772718
x=-2.690000	f(x)=0.809556	f'(x)=0.785249
x=-2.680000	f(x)=0.801641	f'(x)=0.797474
x=-2.670000	f(x)=0.793606	f'(x)=0.809383
x=-2.660000	f(x)=0.785454	f'(x)=0.820959
x=-2.650000	f(x)=0.777187	f'(x)=0.832209
x=-2.640000	f(x)=0.768809	f'(x)=0.843132
x=-2.630000	f(x)=0.760324	f'(x)=0.853711
x=-2.620000	f(x)=0.751735	f'(x)=0.863954
x=-2.610000	f(x)=0.743045	f'(x)=0.873852
x=-2.600000	f(x)=0.734258	f'(x)=0.883391
x=-2.590000	f(x)=0.725378	f'(x)=0.892586
x=-2.580000	f(x)=0.716407	f'(x)=0.901425
x=-2.570000	f(x)=0.707349	f'(x)=0.909898
x=-2.560000	f(x)=0.698209	f'(x)=0.918010
x=-2.550000	f(x)=0.688989	f'(x)=0.925750
x=-2.540000	f(x)=0.679694	f'(x)=0.933123
x=-2.530000	f(x)=0.670326	f'(x)=0.940129
x=-2.520000	f(x)=0.660891	f'(x)=0.946751
x=-2.510000	f(x)=0.651391	f'(x)=0.952998
x=-2.500000	f(x)=0.641831	f'(x)=0.958860
x=-2.490000	f(x)=0.632214	f'(x)=0.964338
x=-2.480000	f(x)=0.622544	f'(x)=0.969437
x=-2.470000	f(x)=0.612825	f'(x)=0.974143
x=-2.460000	f(x)=0.603061	f'(x)=0.978455
x=-2.450000	f(x)=0.593256	f'(x)=0.982386
x=-2.440000	f(x)=0.583414	f'(x)=0.985923
x=-2.430000	f(x)=0.573538	f'(x)=0.989062
x=-2.420000	f(x)=0.563632	f'(x)=0.991806
x=-2.410000	f(x)=0.553702	f'(x)=0.994149
x=-2.400000	f(x)=0.543749	f'(x)=0.996092
x=-2.390000	f(x)=0.533780	f'(x)=0.997648
x=-2.380000	f(x)=0.523796	f'(x)=0.998801
x=-2.370000	f(x)=0.513804	f'(x)=0.999549
x=-2.360000	f(x)=0.503805	f'(x)=0.999904
x=-2.350000	f(x)=0.493806	f'(x)=0.999857
x=-2.340000	f(x)=0.483808	f'(x)=0.999410
x=-2.330000	f(x)=0.473817	f'(x)=0.998560
x=-2.320000	f(x)=0.463837	f'(x)=0.997311
x=-2.310000	f(x)=0.453871	f'(x)=0.995669
x=-2.300000	f(x)=0.443924	f'(x)=0.993624
x=-2.290000	f(x)=0.433999	f'(x)=0.991184
x=-2.280000	f(x)=0.424100	f'(x)=0.988346
x=-2.270000	f(x)=0.414232	f'(x)=0.985111
x=-2.260000	f(x)=0.404398	f'(x)=0.981481
x=-2.250000	f(x)=0.394602	f'(x)=0.977463
x=-2.240000	f(x)=0.384849	f'(x)=0.973056
x=-2.230000	f(x)=0.375141	f'(x)=0.968255
x=-2.220000	f(x)=0.365483	f'(x)=0.963064
x=-2.210000	f(x)=0.355880	f'(x)=0.957491
x=-2.200000	f(x)=0.346334	f'(x)=0.951536
x=-2.190000	f(x)=0.336849	f'(x)=0.945203
